Rk,Player,Pos,Age,Tm,G,MP ▾,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,James Harden,SG,25,HOU,77,2841,26.9,.607,.378,.559,2.8,14.3,8.5,34.2,2.6,1.5,14.8,31.3,,11.8,4.0,15.8,.267,,7.5,0.9,8.5,7.5
2,Damian Lillard,PG,24,POR,79,2832,20.9,.560,.423,.293,1.8,11.9,6.9,29.2,1.7,0.5,12.4,26.9,,7.3,3.3,10.6,.179,,5.1,0.1,5.2,5.1
3,Andrew Wiggins,SG,19,MIN,78,2801,13.6,.515,.111,.395,4.9,9.4,7.1,9.1,1.5,1.3,11.4,22.5,,1.9,0.1,1.9,.033,,-0.6,-1.8,-2.4,-0.3
4,Trevor Ariza,SF,29,HOU,78,2790,12.8,.537,.608,.160,2.9,14.6,8.7,11.4,2.6,0.4,12.6,16.6,,2.6,3.7,6.3,.108,,0.6,1.3,1.9,2.7
5,John Wall,PG,24,WAS,77,2757,20.2,.527,.185,.316,1.5,13.0,7.4,46.1,2.5,1.3,18.4,25.9,,3.9,4.1,8.0,.140,,2.6,1.2,3.7,4.0
6,Chris Paul,PG,29,LAC,79,2756,26.0,.595,.295,.279,2.1,12.5,7.4,47.3,2.8,0.4,12.8,23.8,,12.4,3.1,15.4,.268,,7.4,0.1,7.5,6.6
7,DeAndre Jordan,C,26,LAC,79,2716,20.7,.634,.008,.892,16.0,32.5,24.4,3.1,1.4,5.3,12.9,13.5,,6.9,5.1,12.0,.212,,0.7,3.1,3.7,3.9
8,Kyrie Irving,PG,22,CLE,73,2695,21.4,.582,.305,.299,2.3,7.5,4.9,24.6,2.2,0.6,11.8,26.2,,8.2,2.0,10.2,.182,,4.6,-1.4,3.2,3.6
9,Eric Bledsoe,PG,25,PHO,78,2686,18.5,.559,.258,.427,2.8,14.0,8.4,27.4,2.3,1.3,18.4,23.7,,4.0,2.9,6.9,.123,,1.7,1.0,2.7,3.2
10,Joe Johnson,SG,33,BRK,76,2652,14.1,.523,.330,.171,2.3,13.3,7.8,16.9,1.1,0.4,11.1,20.5,,2.4,1.3,3.7,.068,,0.9,-0.8,0.1,1.4
11,Monta Ellis,SG,29,DAL,77,2604,16.9,.509,.214,.227,1.4,6.4,3.9,20.6,2.8,0.7,11.4,28.1,,1.6,2.2,3.8,.071,,0.8,-0.8,0.1,1.4
12,Marc Gasol,C,30,MEM,77,2582,21.5,.557,.016,.413,4.8,21.8,13.4,19.6,1.4,4.1,12.5,24.6,,5.0,4.6,9.6,.179,,1.1,3.5,4.7,4.3
13,Gordon Hayward,SF,24,UTA,75,2579,20.1,.566,.304,.420,2.4,13.9,8.2,21.9,2.2,0.9,13.8,26.3,,5.7,2.8,8.5,.158,,3.3,0.0,3.3,3.5
14,Pau Gasol,PF,34,CHI,75,2577,22.7,.551,.023,.313,9.1,27.7,18.6,14.7,0.5,3.9,10.6,24.5,,5.9,4.2,10.0,.187,,0.8,2.0,2.9,3.1
15,Goran Dragic,SG-PG,28,TOT,76,2564,17.4,.578,.257,.237,3.4,8.3,5.8,22.5,1.5,0.5,13.8,21.8,,5.2,1.4,6.6,.124,,2.5,-1.4,1.1,2.0
16,Ty Lawson,PG,27,DEN,72,2559,18.7,.529,.223,.398,1.7,8.2,4.8,43.0,1.8,0.3,14.4,20.8,,5.8,1.2,7.0,.131,,2.9,-1.9,1.0,1.9
17,Tyreke Evans,SF,25,NOP,75,2558,17.5,.506,.200,.252,3.4,14.2,8.9,32.5,1.9,1.0,16.0,26.2,,2.1,2.0,4.1,.078,,1.6,0.1,1.7,2.4
