,cldCvrAvg,cldCvrMax,cldCvrMin,country,dewPtAvg,dewPtMax,dewPtMin,feelsLikeAvg,feelsLikeMax,feelsLikeMin,postal_code,precip,relHumAvg,relHumMax,relHumMin,sfcPresAvg,sfcPresMax,sfcPresMin,snowfall,spcHumAvg,spcHumMax,spcHumMin,tempAvg,tempMax,tempMin,timestamp,wetBulbAvg,wetBulbMax,wetBulbMin,windSpdAvg,windSpdMax,windSpdMin,predicted,zips
0,51.0,79.0,20.0,us,24.6,30.6,17.5,33.9,42.8,27.1,20816,0.0,64.3,84.8,46.0,1022.4,1026.1,1017.7,0.0,2.8,3.5,2.0,35.8,45.3,27.1,2014-01-01T00:00:00-05:00,32.0,38.7,24.9,3.3,7.3,0.2,0,71107
1,81.0,96.0,40.0,us,31.1,33.5,28.3,31.4,36.0,28.3,20816,0.3,91.0,100.0,78.3,1007.7,1016.5,999.5,0.9,3.7,4.0,3.2,33.5,36.9,30.8,2014-01-02T00:00:00-05:00,32.6,35.5,30.1,2.9,5.4,0.8,0,71107
2,46.0,100.0,3.0,us,9.8,28.0,1.7,10.5,25.6,1.0,20816,0.01,66.8,97.9,42.5,1017.8,1028.9,1000.7,0.1,1.6,3.2,1.0,19.8,29.6,14.6,2014-01-03T00:00:00-05:00,17.8,29.0,12.7,8.5,15.0,0.9,0,71107
3,22.0,100.0,1.0,us,11.4,17.0,6.1,18.3,26.2,8.4,20816,0.0,63.2,80.7,44.8,1026.1,1030.3,1021.8,0.0,1.6,2.0,1.2,22.5,32.8,12.2,2014-01-04T00:00:00-05:00,19.9,28.3,11.3,4.2,8.6,0.3,0,71107
4,83.0,100.0,27.0,us,30.2,36.8,16.5,32.3,36.7,22.6,20816,0.09,85.4,100.0,58.9,1015.6,1021.5,1003.1,0.0,3.6,4.6,2.0,34.4,37.2,29.1,2014-01-05T00:00:00-05:00,33.0,37.0,25.7,2.9,6.8,0.7,0,71107
5,50.0,100.0,6.0,us,25.0,44.6,-8.8,26.3,45.2,-7.8,20816,0.07,70.9,100.0,41.2,1002.5,1014.1,995.9,0.0,3.5,6.3,0.6,34.4,46.3,9.4,2014-01-06T00:00:00-05:00,32.1,45.5,7.3,11.3,17.7,3.0,0,71107
6,5.0,12.0,1.0,us,-7.8,-3.2,-13.0,-1.6,11.9,-11.4,20816,0.0,44.5,51.6,37.1,1023.0,1028.0,1015.3,0.0,0.6,0.8,0.5,9.7,16.5,4.0,2014-01-07T00:00:00-05:00,7.6,13.6,2.3,8.2,13.6,1.7,0,71107
7,38.0,92.0,1.0,us,3.6,13.5,-3.0,17.1,26.8,5.5,20816,0.0,50.6,69.7,34.8,1029.7,1032.7,1027.6,0.0,1.1,1.7,0.8,19.7,29.1,8.4,2014-01-08T00:00:00-05:00,16.8,24.5,7.2,2.6,5.8,0.4,0,71107
8,73.0,100.0,33.0,us,19.0,21.5,14.2,29.0,36.9,23.9,20816,0.0,61.4,74.3,47.2,1031.3,1033.9,1028.5,0.0,2.2,2.4,1.8,30.9,38.3,25.7,2014-01-09T00:00:00-05:00,27.5,32.9,23.3,2.6,6.0,0.7,0,71107
9,73.0,87.0,51.0,us,31.4,36.2,22.2,33.9,36.8,30.4,20816,0.32,90.3,100.0,70.2,1024.8,1030.1,1018.0,0.7,3.7,4.4,2.5,34.1,36.8,30.7,2014-01-10T00:00:00-05:00,33.2,36.5,28.0,1.3,2.1,0.1,0,71107
